date,longitude,latitude,Elevation,Rain,T2M,CLOUD_AMT,RH2M,ALLSKY_SFC_SW_DWN
20010401,89.42,27.43,3436.91,4.0,2.34,74.79,81.15,19.82
20010402,89.42,27.43,3436.91,0.48,2.81,59.53,65.09,21.08
20010403,89.42,27.43,3436.91,0.0,2.37,69.48,52.26,19.85
20010404,89.42,27.43,3436.91,0.0,3.33,71.18,52.01,19.85
20010405,89.42,27.43,3436.91,2.07,4.31,69.82,48.68,20.37
20010406,89.42,27.43,3436.91,3.84,3.97,74.08,50.12,19.21
20010407,89.42,27.43,3436.91,0.0,5.19,66.93,50.52,23.14
20010408,89.42,27.43,3436.91,2.05,3.67,71.47,55.2,23.03
20010409,89.42,27.43,3436.91,5.98,3.45,89.7,55.17,21.71
20010410,89.42,27.43,3436.91,1.3,4.07,67.13,58.0,19.26
20010411,89.42,27.43,3436.91,0.08,4.66,67.48,59.58,19.21
20010412,89.42,27.43,3436.91,0.46,5.24,62.7,53.45,22.15
20010413,89.42,27.43,3436.91,11.92,5.54,89.37,60.36,17.61
20010414,89.42,27.43,3436.91,1.46,4.92,83.51,77.53,12.91
20010415,89.42,27.43,3436.91,0.4,5.1,78.44,77.44,18.85
20010416,89.42,27.43,3436.91,2.0,4.97,81.94,79.79,17.15
20010417,89.42,27.43,3436.91,0.61,5.31,71.49,75.32,22.78
20010418,89.42,27.43,3436.91,5.15,4.64,77.9,70.27,10.63
20010419,89.42,27.43,3436.91,0.35,4.83,62.22,80.23,16.59
20010420,89.42,27.43,3436.91,0.06,4.62,74.74,75.18,13.56
20010421,89.42,27.43,3436.91,0.01,4.46,71.57,70.02,19.85
20010422,89.42,27.43,3436.91,0.09,4.16,75.4,71.07,16.03
20010423,89.42,27.43,3436.91,0.0,6.2,54.5,54.94,18.37
20010424,89.42,27.43,3436.91,0.0,7.36,49.94,41.69,28.55
20010425,89.42,27.43,3436.91,7.05,5.43,81.57,67.81,13.67
20010426,89.42,27.43,3436.91,2.13,5.67,66.68,77.73,7.68
20010427,89.42,27.43,3436.91,0.93,6.04,79.89,74.37,16.94
20010428,89.42,27.43,3436.91,11.49,6.92,74.37,72.77,23.7
20010429,89.42,27.43,3436.91,1.72,6.69,80.91,74.12,16.79
20010430,89.42,27.43,3436.91,3.85,7.78,69.28,73.61,23.81
20010501,89.42,27.43,3436.91,4.61,5.81,71.04,78.53,19.06
20010502,89.42,27.43,3436.91,0.2,7.45,52.99,69.92,29.47
20010503,89.42,27.43,3436.91,5.21,6.73,79.52,81.5,17.53
20010504,89.42,27.43,3436.91,3.16,6.88,87.37,86.4,11.65
20010505,89.42,27.43,3436.91,1.06,7.09,81.2,85.92,18.19
20010506,89.42,27.43,3436.91,4.32,8.15,87.58,84.38,16.41
20010507,89.42,27.43,3436.91,4.3,7.05,87.51,90.14,14.32
20010508,89.42,27.43,3436.91,8.81,9.92,61.41,77.54,24.94
20010509,89.42,27.43,3436.91,5.29,8.32,87.91,85.85,7.41
20010510,89.42,27.43,3436.91,9.86,7.57,78.87,84.2,14.72
20010511,89.42,27.43,3436.91,3.16,8.41,83.13,79.62,19.99
20010512,89.42,27.43,3436.91,0.03,10.54,56.52,67.36,28.22
20010513,89.42,27.43,3436.91,0.0,11.09,53.29,74.42,27.3
20010514,89.42,27.43,3436.91,0.57,10.8,49.88,77.49,29.68
20010515,89.42,27.43,3436.91,3.02,9.83,80.6,78.77,17.27
20010516,89.42,27.43,3436.91,0.42,9.05,76.52,80.96,12.48
20010517,89.42,27.43,3436.91,2.6,9.65,82.89,81.87,18.18
20010518,89.42,27.43,3436.91,0.74,9.37,76.3,76.31,21.38
20010519,89.42,27.43,3436.91,1.43,9.82,62.96,79.33,20.36
20010520,89.42,27.43,3436.91,1.5,9.88,75.24,79.25,14.07
20010521,89.42,27.43,3436.91,1.88,10.12,83.17,79.44,17.94
20010522,89.42,27.43,3436.91,1.78,10.87,80.94,80.52,17.93
20010523,89.42,27.43,3436.91,0.84,10.88,81.18,79.11,13.64
20010524,89.42,27.43,3436.91,1.03,10.45,88.35,81.29,11.56
20010525,89.42,27.43,3436.91,1.82,11.25,83.37,82.65,8.1
20010526,89.42,27.43,3436.91,0.49,11.3,75.32,82.87,12.92
20010527,89.42,27.43,3436.91,0.57,10.04,82.53,82.35,14.26
20010528,89.42,27.43,3436.91,0.58,10.17,64.68,81.01,19.55
20010529,89.42,27.43,3436.91,2.08,9.91,87.51,81.9,14.99
20010530,89.42,27.43,3436.91,5.56,11.39,87.07,86.25,11.41
20010531,89.42,27.43,3436.91,6.94,10.96,81.3,82.87,16.52
20010601,89.42,27.43,3436.91,9.54,10.58,77.32,83.4,15.66
20010602,89.42,27.43,3436.91,2.32,11.26,68.78,86.32,21.96
20010603,89.42,27.43,3436.91,3.14,9.6,77.55,84.41,11.57
20010604,89.42,27.43,3436.91,8.15,10.19,74.93,83.51,12.64
20010605,89.42,27.43,3436.91,2.41,11.0,78.67,84.76,16.18
20010606,89.42,27.43,3436.91,2.46,12.01,87.71,82.15,15.42
20010607,89.42,27.43,3436.91,1.02,12.31,83.86,83.7,17.77
20010608,89.42,27.43,3436.91,4.68,11.88,71.06,81.09,18.31
20010609,89.42,27.43,3436.91,5.34,11.72,75.1,83.03,17.12
20010610,89.42,27.43,3436.91,1.21,12.13,71.23,81.66,21.13
20010611,89.42,27.43,3436.91,2.23,12.35,73.84,76.87,22.45
20010612,89.42,27.43,3436.91,0.45,12.25,85.25,79.85,19.16
20010613,89.42,27.43,3436.91,4.73,13.24,79.84,80.26,20.18
20010614,89.42,27.43,3436.91,1.9,10.51,65.47,80.37,23.12
20010615,89.42,27.43,3436.91,1.14,10.18,88.6,80.33,13.79
20010616,89.42,27.43,3436.91,2.14,11.07,80.22,81.72,17.38
20010617,89.42,27.43,3436.91,4.32,11.87,91.19,82.34,17.67
20010618,89.42,27.43,3436.91,8.93,11.67,94.57,87.38,13.31
20010619,89.42,27.43,3436.91,11.81,11.61,94.87,86.39,13.16
20010620,89.42,27.43,3436.91,11.27,12.15,87.22,89.35,14.21
20010621,89.42,27.43,3436.91,7.65,13.02,84.92,84.46,16.98
20010622,89.42,27.43,3436.91,4.05,12.58,89.75,82.99,20.03
20010623,89.42,27.43,3436.91,0.84,12.46,90.75,81.16,18.22
20010624,89.42,27.43,3436.91,2.25,12.72,77.88,80.62,20.58
20010625,89.42,27.43,3436.91,1.1,13.26,80.53,84.19,20.34
20010626,89.42,27.43,3436.91,2.13,12.86,74.28,84.84,20.08
20010627,89.42,27.43,3436.91,1.09,13.28,75.18,85.82,22.27
20010628,89.42,27.43,3436.91,5.76,13.48,77.73,85.64,15.6
20010629,89.42,27.43,3436.91,2.21,11.53,82.07,91.26,15.56
20010630,89.42,27.43,3436.91,1.78,12.35,83.42,81.93,18.58
20010701,89.42,27.43,3436.91,3.06,12.47,77.09,83.86,20.2
20010702,89.42,27.43,3436.91,4.27,13.18,64.12,82.6,22.31
20010703,89.42,27.43,3436.91,1.54,13.47,61.57,80.88,23.86
20010704,89.42,27.43,3436.91,0.95,12.54,74.93,77.5,20.37
20010705,89.42,27.43,3436.91,3.33,12.83,60.19,75.71,27.6
20010706,89.42,27.43,3436.91,8.64,13.39,71.33,80.04,24.47
20010707,89.42,27.43,3436.91,5.78,11.73,83.77,83.49,18.65
20010708,89.42,27.43,3436.91,0.23,13.3,76.95,77.38,24.15
20010709,89.42,27.43,3436.91,3.79,12.38,86.78,84.59,20.42
20010710,89.42,27.43,3436.91,13.94,12.41,89.51,83.71,14.77
20010711,89.42,27.43,3436.91,6.18,13.41,88.77,82.83,17.47
20010712,89.42,27.43,3436.91,4.46,13.78,76.79,84.83,18.61
20010713,89.42,27.43,3436.91,4.16,13.6,88.84,86.1,18.52
20010714,89.42,27.43,3436.91,19.71,13.09,62.92,85.42,13.59
20010715,89.42,27.43,3436.91,10.71,12.39,73.4,88.95,11.3
20010716,89.42,27.43,3436.91,3.69,12.51,85.59,86.27,13.47
20010717,89.42,27.43,3436.91,3.2,12.6,93.96,84.85,14.94
20010718,89.42,27.43,3436.91,3.61,13.26,95.17,83.55,18.91
20010719,89.42,27.43,3436.91,9.77,13.19,82.07,84.04,14.82
20010720,89.42,27.43,3436.91,6.27,12.95,87.96,87.38,14.82
20010721,89.42,27.43,3436.91,18.61,13.17,94.51,88.2,14.61
20010722,89.42,27.43,3436.91,6.21,12.98,77.13,83.65,21.12
20010723,89.42,27.43,3436.91,4.55,13.17,78.22,81.57,20.14
20010724,89.42,27.43,3436.91,1.2,13.65,87.58,83.01,17.15
20010725,89.42,27.43,3436.91,1.84,13.23,87.85,88.76,14.48
20010726,89.42,27.43,3436.91,5.19,13.26,79.64,87.7,11.89
20010727,89.42,27.43,3436.91,6.09,13.25,75.98,90.89,13.6
20010728,89.42,27.43,3436.91,9.1,13.08,71.32,90.77,10.96
20010729,89.42,27.43,3436.91,11.82,12.34,73.32,90.69,10.56
20010730,89.42,27.43,3436.91,14.11,12.47,62.55,88.59,11.81
20010731,89.42,27.43,3436.91,3.32,12.79,92.96,89.23,13.86
20010801,89.42,27.43,3436.91,4.37,13.44,89.84,91.05,14.7
20010802,89.42,27.43,3436.91,4.16,13.29,63.03,91.99,10.1
20010803,89.42,27.43,3436.91,5.2,13.05,84.89,84.88,16.02
20010804,89.42,27.43,3436.91,0.11,12.41,85.27,78.07,21.99
20010805,89.42,27.43,3436.91,3.0,12.14,89.75,80.72,19.23
20010806,89.42,27.43,3436.91,1.87,11.64,87.95,84.79,17.59
20010807,89.42,27.43,3436.91,2.9,12.62,81.48,84.02,17.26
20010808,89.42,27.43,3436.91,1.71,13.03,82.16,85.55,19.85
20010809,89.42,27.43,3436.91,1.79,12.51,88.62,82.56,18.02
20010810,89.42,27.43,3436.91,0.85,12.93,78.98,82.19,21.06
20010811,89.42,27.43,3436.91,7.05,13.34,84.86,85.89,18.42
20010812,89.42,27.43,3436.91,8.89,13.48,86.51,87.89,14.09
20010813,89.42,27.43,3436.91,12.74,12.64,91.39,85.31,16.96
20010814,89.42,27.43,3436.91,16.78,12.77,91.34,86.59,18.15
20010815,89.42,27.43,3436.91,0.63,13.48,79.3,86.58,20.88
20010816,89.42,27.43,3436.91,1.87,13.61,94.59,88.61,17.75
20010817,89.42,27.43,3436.91,9.99,13.08,94.94,86.84,11.37
20010818,89.42,27.43,3436.91,25.28,12.8,90.69,88.38,11.55
20010819,89.42,27.43,3436.91,8.04,12.88,83.96,89.03,13.66
20010820,89.42,27.43,3436.91,16.31,12.99,89.05,86.0,14.82
20010821,89.42,27.43,3436.91,4.18,13.0,97.61,84.78,12.29
20010822,89.42,27.43,3436.91,6.83,11.76,53.74,91.27,9.77
20010823,89.42,27.43,3436.91,3.64,10.5,40.79,93.67,11.68
20010824,89.42,27.43,3436.91,2.78,10.22,82.03,91.4,17.52
20010825,89.42,27.43,3436.91,3.39,11.18,91.85,85.68,15.13
20010826,89.42,27.43,3436.91,16.99,12.24,82.41,86.74,14.84
20010827,89.42,27.43,3436.91,2.68,12.35,72.89,87.81,12.88
20010828,89.42,27.43,3436.91,10.83,10.55,93.73,89.97,13.2
20010829,89.42,27.43,3436.91,2.25,11.39,85.35,86.7,10.6
20010830,89.42,27.43,3436.91,2.06,11.36,93.25,86.04,11.74
20010831,89.42,27.43,3436.91,3.43,11.98,75.01,84.06,13.72
20010901,89.42,27.43,3436.91,6.67,11.87,81.78,86.93,11.92
20010902,89.42,27.43,3436.91,2.83,11.46,86.05,88.6,14.89
20010903,89.42,27.43,3436.91,3.57,11.98,69.5,89.26,12.16
20010904,89.42,27.43,3436.91,4.67,12.07,76.58,88.53,12.0
20010905,89.42,27.43,3436.91,4.16,10.98,87.32,88.74,11.63
20010906,89.42,27.43,3436.91,2.46,10.3,92.96,85.33,10.4
20010907,89.42,27.43,3436.91,7.33,10.68,83.47,89.71,11.27
20010908,89.42,27.43,3436.91,1.3,11.23,91.35,88.23,11.95
20010909,89.42,27.43,3436.91,5.44,11.52,84.41,86.9,10.71
20010910,89.42,27.43,3436.91,5.35,10.39,86.73,91.04,11.4
20010911,89.42,27.43,3436.91,6.06,10.32,51.78,89.69,8.52
20010912,89.42,27.43,3436.91,8.62,10.36,85.62,88.91,9.69
20010913,89.42,27.43,3436.91,17.48,9.84,72.04,92.15,7.47
20010914,89.42,27.43,3436.91,1.1,10.62,82.16,88.78,14.31
20010915,89.42,27.43,3436.91,0.0,11.06,85.93,88.47,16.29
20010916,89.42,27.43,3436.91,9.18,11.15,89.5,85.24,14.79
20010917,89.42,27.43,3436.91,1.97,9.73,79.2,87.51,9.0
20010918,89.42,27.43,3436.91,5.21,9.26,79.3,88.48,14.3
20010919,89.42,27.43,3436.91,1.05,9.8,81.29,86.63,16.38
20010920,89.42,27.43,3436.91,1.53,10.37,70.91,86.5,14.36
20010921,89.42,27.43,3436.91,2.18,10.97,67.23,89.74,14.58
20010922,89.42,27.43,3436.91,0.99,11.14,61.43,85.52,19.75
20010923,89.42,27.43,3436.91,2.15,11.0,82.07,86.48,13.67
20010924,89.42,27.43,3436.91,0.72,10.26,88.65,84.43,12.14
20010925,89.42,27.43,3436.91,3.25,10.48,78.89,85.91,11.7
20010926,89.42,27.43,3436.91,1.93,10.87,74.9,86.19,15.62
20010927,89.42,27.43,3436.91,0.9,11.08,87.27,86.91,12.05
20010928,89.42,27.43,3436.91,0.23,11.0,78.24,86.58,12.06
20010929,89.42,27.43,3436.91,1.59,10.8,77.88,83.04,17.54
20010930,89.42,27.43,3436.91,3.08,9.98,76.58,84.17,15.84
20011001,89.42,27.43,3436.91,6.16,8.98,82.53,85.39,9.05
20011002,89.42,27.43,3436.91,3.06,8.59,73.82,89.68,9.77
20011003,89.42,27.43,3436.91,6.13,8.78,86.5,90.24,10.41
20011004,89.42,27.43,3436.91,4.43,8.94,78.58,93.09,9.5
20011005,89.42,27.43,3436.91,13.49,8.23,79.79,91.82,5.09
20011006,89.42,27.43,3436.91,4.59,9.02,78.61,87.71,15.37
20011007,89.42,27.43,3436.91,0.7,9.89,65.07,91.75,19.8
20011008,89.42,27.43,3436.91,0.56,10.57,65.56,89.19,15.05
20011009,89.42,27.43,3436.91,6.28,9.46,59.87,92.73,10.69
20011010,89.42,27.43,3436.91,7.61,8.7,78.37,92.53,12.17
20011011,89.42,27.43,3436.91,2.11,8.96,87.12,89.47,12.58
20011012,89.42,27.43,3436.91,0.0,8.87,74.21,84.68,16.92
20011013,89.42,27.43,3436.91,0.12,8.25,58.15,80.28,17.63
20011014,89.42,27.43,3436.91,0.59,7.5,56.82,82.13,17.08
20011015,89.42,27.43,3436.91,0.01,6.58,65.4,77.61,16.65
20011016,89.42,27.43,3436.91,0.0,5.96,57.99,74.84,19.21
20011017,89.42,27.43,3436.91,0.59,5.53,61.92,77.25,18.67
20011018,89.42,27.43,3436.91,1.42,3.85,44.29,74.64,18.53
20011019,89.42,27.43,3436.91,0.39,5.11,77.38,77.09,14.04
20011020,89.42,27.43,3436.91,0.01,6.06,62.71,82.32,15.51
20011021,89.42,27.43,3436.91,0.0,6.31,60.32,78.48,18.93
20011022,89.42,27.43,3436.91,0.0,5.75,56.4,73.33,20.13
20011023,89.42,27.43,3436.91,0.03,4.65,59.13,71.32,19.94
20011024,89.42,27.43,3436.91,0.02,4.33,66.16,76.79,19.32
20011025,89.42,27.43,3436.91,0.02,5.09,64.42,82.15,17.83
20011026,89.42,27.43,3436.91,0.0,5.56,70.81,80.13,16.75
20011027,89.42,27.43,3436.91,0.0,5.38,58.09,78.64,18.32
20011028,89.42,27.43,3436.91,0.0,5.39,57.12,71.99,20.03
20011029,89.42,27.43,3436.91,0.01,4.63,63.82,76.87,18.39
20011030,89.42,27.43,3436.91,1.37,4.77,54.83,81.52,17.98
20011031,89.42,27.43,3436.91,4.2,4.99,72.13,83.2,15.77
20011101,89.42,27.43,3436.91,0.77,6.13,64.24,83.26,15.27
20011102,89.42,27.43,3436.91,0.01,7.03,58.29,89.5,13.72
20011103,89.42,27.43,3436.91,0.49,6.95,67.51,87.66,12.15
20011104,89.42,27.43,3436.91,0.69,6.08,65.5,86.86,12.99
20011105,89.42,27.43,3436.91,0.05,4.86,58.31,77.61,14.49
20011106,89.42,27.43,3436.91,0.0,4.51,55.5,77.61,15.18
20011107,89.42,27.43,3436.91,0.05,3.06,49.95,75.84,17.57
20011108,89.42,27.43,3436.91,0.0,2.03,67.96,77.29,15.13
20011109,89.42,27.43,3436.91,0.0,2.96,54.32,77.12,17.26
20011110,89.42,27.43,3436.91,0.01,4.33,55.12,84.88,17.31
20011111,89.42,27.43,3436.91,0.0,3.27,70.39,72.52,17.91
20011112,89.42,27.43,3436.91,0.0,3.35,51.49,70.98,18.49
20011113,89.42,27.43,3436.91,0.0,5.45,46.81,55.74,18.03
20011114,89.42,27.43,3436.91,0.0,6.17,45.66,48.75,18.34
20011115,89.42,27.43,3436.91,0.0,5.26,41.96,66.34,17.85
20011116,89.42,27.43,3436.91,0.0,4.4,45.64,81.16,12.13
20011117,89.42,27.43,3436.91,0.05,3.93,56.35,83.55,10.11
20011118,89.42,27.43,3436.91,0.02,4.14,67.06,77.88,12.42
20011119,89.42,27.43,3436.91,0.0,4.36,49.74,71.0,16.83
20011120,89.42,27.43,3436.91,0.0,2.96,49.94,68.67,17.01
20011121,89.42,27.43,3436.91,0.7,2.87,46.45,83.47,11.7
20011122,89.42,27.43,3436.91,0.12,3.0,46.62,89.46,7.75
20011123,89.42,27.43,3436.91,0.0,2.83,75.69,76.47,9.36
20011124,89.42,27.43,3436.91,0.0,3.43,41.49,53.19,15.35
20011125,89.42,27.43,3436.91,0.0,2.6,43.97,49.36,17.65
20011126,89.42,27.43,3436.91,0.0,2.91,24.98,58.51,17.22
20011127,89.42,27.43,3436.91,0.0,1.06,23.7,72.7,16.19
20011128,89.42,27.43,3436.91,0.0,0.49,43.72,70.98,12.03
20011129,89.42,27.43,3436.91,0.0,1.0,51.09,63.75,14.22
20011130,89.42,27.43,3436.91,0.0,2.57,38.86,50.35,14.54
20011201,89.42,27.43,3436.91,0.0,2.51,44.16,56.45,13.01
20011202,89.42,27.43,3436.91,0.0,1.8,61.43,62.82,11.58
20011203,89.42,27.43,3436.91,0.0,2.01,50.82,54.23,11.37
20011204,89.42,27.43,3436.91,0.0,1.44,63.24,66.47,11.53
20011205,89.42,27.43,3436.91,0.0,0.75,57.88,72.08,11.42
20011206,89.42,27.43,3436.91,0.0,0.21,53.7,73.17,9.3
20011207,89.42,27.43,3436.91,0.0,0.37,73.67,70.39,10.42
20011208,89.42,27.43,3436.91,0.01,-1.5,69.52,85.81,3.72
20011209,89.42,27.43,3436.91,0.0,-1.0,38.89,79.85,7.64
20011210,89.42,27.43,3436.91,0.0,-0.75,70.8,80.78,8.96
20011211,89.42,27.43,3436.91,0.0,-1.13,66.82,76.47,11.6
20011212,89.42,27.43,3436.91,0.0,-0.36,57.41,72.57,13.87
20011213,89.42,27.43,3436.91,0.0,0.02,61.31,63.99,13.87
20011214,89.42,27.43,3436.91,0.0,0.39,57.09,68.9,15.37
20011215,89.42,27.43,3436.91,0.0,-0.01,62.43,68.06,14.85
20011216,89.42,27.43,3436.91,0.0,-1.52,52.71,77.52,15.27
20011217,89.42,27.43,3436.91,0.0,-0.7,60.01,71.89,13.8
20011218,89.42,27.43,3436.91,0.0,-0.22,73.38,76.94,12.78
20011219,89.42,27.43,3436.91,0.0,0.04,65.03,70.15,14.19
20011220,89.42,27.43,3436.91,0.0,-0.51,54.18,63.09,15.44
20011221,89.42,27.43,3436.91,0.0,0.57,73.2,53.53,15.08
20011222,89.42,27.43,3436.91,0.0,-0.44,48.5,43.12,16.28
20011223,89.42,27.43,3436.91,0.0,0.06,49.29,44.22,16.33
20011224,89.42,27.43,3436.91,0.0,-0.64,48.55,54.6,16.51
20011225,89.42,27.43,3436.91,0.0,-1.18,50.11,64.62,16.19
20011226,89.42,27.43,3436.91,0.0,-1.54,52.33,69.12,16.11
20011227,89.42,27.43,3436.91,0.0,-1.61,54.41,70.49,15.2
20011228,89.42,27.43,3436.91,0.0,-1.86,50.02,67.36,15.9
20011229,89.42,27.43,3436.91,0.0,-3.27,49.06,71.91,15.55
20011230,89.42,27.43,3436.91,0.0,-2.59,50.3,64.57,15.73
20011231,89.42,27.43,3436.91,0.0,-2.13,53.11,58.26,14.47
20020101,89.42,27.43,3436.91,0.0,-2.51,45.4,67.56,16.09
20020102,89.42,27.43,3436.91,0.0,-3.14,44.68,74.07,16.65
20020103,89.42,27.43,3436.91,0.0,-2.68,58.3,71.48,15.83
20020104,89.42,27.43,3436.91,0.0,-2.23,51.96,63.63,16.08
20020105,89.42,27.43,3436.91,0.0,-1.93,51.41,61.13,16.1
20020106,89.42,27.43,3436.91,0.0,-1.8,54.88,68.58,16.05
20020107,89.42,27.43,3436.91,0.0,-2.55,72.3,67.5,14.49
20020108,89.42,27.43,3436.91,0.01,-3.05,69.93,75.09,12.1
